datetime,text
2020-10-05 13:35:01,Ein Stück Himmel: Kunstwerk von Olafur Eliasson eingeweiht
2020-10-05 07:05:02,"8 Rätsel, die dein logisches Verständnis offenbaren"
2020-10-05 03:20:01,Brand in Bahnhofsgebäude: Bahnstrecke zeitweise gesperrt
2020-10-05 06:45:02,FC Bayern: Lewy und die müden Münchner
2020-10-05 13:30:03,Ver.di ruft erneut zu landesweitem Warnstreik im NRW-Nahverkehr auf
2020-10-05 10:05:01,"Einschaltquoten: Berliner ""Tatort"" entscheidet das Rennen für sich"
2020-10-05 16:05:04,Wirbel-Wolke: Hobbyfotografin filmt faszinierendes Wetterphänomen
2020-10-05 18:10:03,Kamtschatka: Rätselhaftes Tiersterben im Naturparadies
2020-10-05 21:20:02,Aus bei den French Open - Altmaiers Tennis-Märchen ist zu Ende
2020-10-05 02:25:01,Bundesliga - Überraschungsteam Augsburg: Transfers sind nicht mehr nötig
2020-10-05 16:10:03,Kann man Lauterbach abschalten?
2020-10-05 10:30:02,Belarus: Oppositionelle Olga Shparaga in Minsk festgenommen
2020-10-05 07:40:02,Umweltskandal in Russland - Massenhaftes Tiersterben an Küste von Kamtschatka
2020-10-05 17:10:01,Bildung: Schulen fehlt digitale Plattform
2020-10-05 12:45:02,Mediziner gibt Antworten - Kann Trump wirklich schon ins Weiße Haus zurück?
2020-10-05 12:55:04,Firmen wollen gesetzlichen Rahmen für Künstliche Intelligenz
2020-10-05 03:00:03,"Stiere sind diese Woche besonders anziehend, Löwen haben es schwerer"
2020-10-05 01:15:02,Trump verlässt das Krankenbett für seine Fans
2020-10-05 04:30:02,Stiche in die Brust: Ermittlungen nach Beziehungsstreit
2020-10-05 09:10:01,Corona-Schäden: Versicherer sollten Gastronomen endlich angemessen entschädigen
2020-10-05 15:00:01,"Landesrabbiner: ""Anschlag bringt uns Schritt zurück"""
2020-10-05 16:45:01,Bielefeld: Hochzeitskorso-Teilnehmer fährt fast Schwangere mit Kinderwagen um
2020-10-05 05:15:03,Jüdischer Student vor Synagoge mit Klappspaten schwer verletzt
2020-10-05 11:55:02,Paris schließt Cafés und Bars: „Wir müssen jetzt bremsen“
2020-10-05 13:25:03,"„Wir sind ganz, ganz hart an der Grenze“"
2020-10-05 05:30:03,Eine Delikatesse lieferte Günter Grass die Tinte
2020-10-05 13:40:01,Studenten nutzen Corona-Hilfen nur zum Teil: Zu hohe Hürden?
2020-10-05 07:00:01,Frau beschmiert jüdisches Denkmal in Halle
2020-10-05 16:50:02,Coronavirus im Landkreis Starnberg: 143 Schüler in Quarantäne
2020-10-05 07:05:01,Extinction Rebellion blockiert Bundesverkehrsministerium
2020-10-05 04:40:02,Verunglückter Gefahrgut-Laster: Großeinsatz in Billbrook
2020-10-05 20:55:03,Geschworene für Prozess wegen Todes von 39 Migranten in Kühllaster ausgewählt
2020-10-05 05:40:01,Schwerverletzter nach Unfall bei Wöllmen
2020-10-05 15:30:01,Fastnachts-Start in Mainz wohl im kleineren Kreis
2020-10-05 14:10:02,Polizei: Unbekannte werfen am Hambacher Forst Brandsätze
